,Survived,Pclass,Age,SibSp,Parch,Fare,C,Q,S,Sex
48,0,3,29.69911764705882,2,0,21.6792,1,0,0,0
49,0,3,18.0,1,0,17.8,0,0,1,1
50,0,3,7.0,4,1,39.6875,0,0,1,0
51,0,3,21.0,0,0,7.8,0,0,1,0
52,1,1,49.0,1,0,76.7292,1,0,0,1
53,1,2,29.0,1,0,26.0,0,0,1,1
54,0,1,65.0,0,1,61.9792,1,0,0,0
55,1,1,29.69911764705882,0,0,35.5,0,0,1,0
56,1,2,21.0,0,0,10.5,0,0,1,1
57,0,3,28.5,0,0,7.2292,1,0,0,0
58,1,2,5.0,1,2,27.75,0,0,1,1
59,0,3,11.0,5,2,46.9,0,0,1,0
60,0,3,22.0,0,0,7.2292,1,0,0,0
61,0,1,45.0,1,0,83.475,0,0,1,0
62,0,3,4.0,3,2,27.9,0,0,1,0
63,0,1,29.69911764705882,0,0,27.7208,1,0,0,0
64,1,3,29.69911764705882,1,1,15.2458,1,0,0,0
65,1,2,29.0,0,0,10.5,0,0,1,1
66,0,3,19.0,0,0,8.1583,0,0,1,0
67,1,3,17.0,4,2,7.925,0,0,1,1
68,0,3,26.0,2,0,8.6625,0,0,1,0
69,0,2,32.0,0,0,10.5,0,0,1,0
70,0,3,16.0,5,2,46.9,0,0,1,1
71,0,2,21.0,0,0,73.5,0,0,1,0
72,0,3,26.0,1,0,14.4542,1,0,0,0
73,1,3,32.0,0,0,56.4958,0,0,1,0
74,0,3,25.0,0,0,7.65,0,0,1,0
75,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
76,0,3,29.69911764705882,0,0,8.05,0,0,1,0
77,1,2,0.83,0,2,29.0,0,0,1,0
78,1,3,30.0,0,0,12.475,0,0,1,1
79,0,3,22.0,0,0,9.0,0,0,1,0
80,1,3,29.0,0,0,9.5,0,0,1,0
81,1,3,29.69911764705882,0,0,7.7875,0,1,0,1
82,0,1,28.0,0,0,47.1,0,0,1,0
83,1,2,17.0,0,0,10.5,0,0,1,1
84,1,3,33.0,3,0,15.85,0,0,1,1
85,0,3,16.0,1,3,34.375,0,0,1,0
86,0,3,29.69911764705882,0,0,8.05,0,0,1,0
87,1,1,23.0,3,2,263.0,0,0,1,1
88,0,3,24.0,0,0,8.05,0,0,1,0
89,0,3,29.0,0,0,8.05,0,0,1,0
90,0,3,20.0,0,0,7.8542,0,0,1,0
91,0,1,46.0,1,0,61.175,0,0,1,0
92,0,3,26.0,1,2,20.575,0,0,1,0
93,0,3,59.0,0,0,7.25,0,0,1,0
94,0,3,29.69911764705882,0,0,8.05,0,0,1,0
95,0,1,71.0,0,0,34.6542,1,0,0,0
96,1,1,23.0,0,1,63.3583,1,0,0,0
97,1,2,34.0,0,1,23.0,0,0,1,1
98,0,2,34.0,1,0,26.0,0,0,1,0
99,0,3,28.0,0,0,7.8958,0,0,1,1
100,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
101,0,1,21.0,0,1,77.2875,0,0,1,0
102,0,3,33.0,0,0,8.6542,0,0,1,0
103,0,3,37.0,2,0,7.925,0,0,1,0
104,0,3,28.0,0,0,7.8958,0,0,1,0
105,1,3,21.0,0,0,7.65,0,0,1,1
106,1,3,29.69911764705882,0,0,7.775,0,0,1,0
107,0,3,38.0,0,0,7.8958,0,0,1,0
108,1,3,29.69911764705882,1,0,24.15,0,1,0,1
109,0,1,47.0,0,0,52.0,0,0,1,0
110,0,3,14.5,1,0,14.4542,1,0,0,1
111,0,3,22.0,0,0,8.05,0,0,1,0
112,0,3,20.0,1,0,9.825,0,0,1,1
113,0,3,17.0,0,0,14.4583,1,0,0,1
114,0,3,21.0,0,0,7.925,0,0,1,0
115,0,3,70.5,0,0,7.75,0,1,0,0
116,0,2,29.0,1,0,21.0,0,0,1,0
117,0,1,24.0,0,1,247.5208,1,0,0,0
118,0,3,2.0,4,2,31.275,0,0,1,1
119,0,2,21.0,2,0,73.5,0,0,1,0
120,0,3,29.69911764705882,0,0,8.05,0,0,1,0
121,0,2,32.5,1,0,30.0708,1,0,0,0
122,1,2,32.5,0,0,13.0,0,0,1,1
123,0,1,54.0,0,1,77.2875,0,0,1,0
124,1,3,12.0,1,0,11.2417,1,0,0,0
125,0,3,29.69911764705882,0,0,7.75,0,1,0,0
126,1,3,24.0,0,0,7.1417,0,0,1,0
127,1,3,29.69911764705882,1,1,22.3583,1,0,0,1
128,0,3,45.0,0,0,6.975,0,0,1,0
129,0,3,33.0,0,0,7.8958,1,0,0,0
130,0,3,20.0,0,0,7.05,0,0,1,0
131,0,3,47.0,1,0,14.5,0,0,1,1
132,1,2,29.0,1,0,26.0,0,0,1,1
133,0,2,25.0,0,0,13.0,0,0,1,0
134,0,2,23.0,0,0,15.0458,1,0,0,0
135,1,1,19.0,0,2,26.2833,0,0,1,1
136,0,1,37.0,1,0,53.1,0,0,1,0
137,0,3,16.0,0,0,9.2167,0,0,1,0
138,0,1,24.0,0,0,79.2,1,0,0,0
139,0,3,29.69911764705882,0,2,15.2458,1,0,0,1
140,1,3,22.0,0,0,7.75,0,0,1,1
141,1,3,24.0,1,0,15.85,0,0,1,1
142,0,3,19.0,0,0,6.75,0,1,0,0
143,0,2,18.0,0,0,11.5,0,0,1,0
144,0,2,19.0,1,1,36.75,0,0,1,0
145,1,3,27.0,0,0,7.7958,0,0,1,0
146,0,3,9.0,2,2,34.375,0,0,1,1
147,0,2,36.5,0,2,26.0,0,0,1,0
148,0,2,42.0,0,0,13.0,0,0,1,0
149,0,2,51.0,0,0,12.525,0,0,1,0
150,1,1,22.0,1,0,66.6,0,0,1,1
151,0,3,55.5,0,0,8.05,0,0,1,0
152,0,3,40.5,0,2,14.5,0,0,1,0
153,0,3,29.69911764705882,0,0,7.3125,0,0,1,0
154,0,1,51.0,0,1,61.3792,1,0,0,0
155,1,3,16.0,0,0,7.7333,0,1,0,1
156,0,3,30.0,0,0,8.05,0,0,1,0
157,0,3,29.69911764705882,0,0,8.6625,0,0,1,0
158,0,3,29.69911764705882,8,2,69.55,0,0,1,0
159,0,3,44.0,0,1,16.1,0,0,1,0
160,1,2,40.0,0,0,15.75,0,0,1,1
161,0,3,26.0,0,0,7.775,0,0,1,0
162,0,3,17.0,0,0,8.6625,0,0,1,0
163,0,3,1.0,4,1,39.6875,0,0,1,0
164,1,3,9.0,0,2,20.525,0,0,1,0
165,1,1,29.69911764705882,0,1,55.0,0,0,1,1
166,0,3,45.0,1,4,27.9,0,0,1,1
167,0,1,29.69911764705882,0,0,25.925,0,0,1,0
168,0,3,28.0,0,0,56.4958,0,0,1,0
169,0,1,61.0,0,0,33.5,0,0,1,0
170,0,3,4.0,4,1,29.125,0,1,0,0
171,1,3,1.0,1,1,11.1333,0,0,1,1
172,0,3,21.0,0,0,7.925,0,0,1,0
173,0,1,56.0,0,0,30.6958,1,0,0,0
174,0,3,18.0,1,1,7.8542,0,0,1,0
175,0,3,29.69911764705882,3,1,25.4667,0,0,1,0
176,0,1,50.0,0,0,28.7125,1,0,0,1
177,0,2,30.0,0,0,13.0,0,0,1,0
178,0,3,36.0,0,0,0.0,0,0,1,0
179,0,3,29.69911764705882,8,2,69.55,0,0,1,1
180,0,2,29.69911764705882,0,0,15.05,1,0,0,0
181,0,3,9.0,4,2,31.3875,0,0,1,0
182,1,2,1.0,2,1,39.0,0,0,1,0
183,1,3,4.0,0,2,22.025,0,0,1,1
184,0,1,29.69911764705882,0,0,50.0,0,0,1,0
185,1,3,29.69911764705882,1,0,15.5,0,1,0,1
186,1,1,45.0,0,0,26.55,0,0,1,0
187,0,3,40.0,1,1,15.5,0,1,0,0
188,0,3,36.0,0,0,7.8958,0,0,1,0
189,1,2,32.0,0,0,13.0,0,0,1,1
190,0,2,19.0,0,0,13.0,0,0,1,0
191,1,3,19.0,1,0,7.8542,0,0,1,1
192,1,2,3.0,1,1,26.0,0,0,1,0
193,1,1,44.0,0,0,27.7208,1,0,0,1
194,1,1,58.0,0,0,146.5208,1,0,0,1
195,0,3,29.69911764705882,0,0,7.75,0,1,0,0
196,0,3,42.0,0,1,8.4042,0,0,1,0
197,1,3,29.69911764705882,0,0,7.75,0,1,0,1
198,0,2,24.0,0,0,13.0,0,0,1,1
199,0,3,28.0,0,0,9.5,0,0,1,0
200,0,3,29.69911764705882,8,2,69.55,0,0,1,0
201,0,3,34.0,0,0,6.4958,0,0,1,0
202,0,3,45.5,0,0,7.225,1,0,0,0
203,1,3,18.0,0,0,8.05,0,0,1,0
204,0,3,2.0,0,1,10.4625,0,0,1,1
205,0,3,32.0,1,0,15.85,0,0,1,0
206,1,3,26.0,0,0,18.7875,1,0,0,0
207,1,3,16.0,0,0,7.75,0,1,0,1
208,1,1,40.0,0,0,31.0,1,0,0,0
209,0,3,24.0,0,0,7.05,0,0,1,0
210,1,2,35.0,0,0,21.0,0,0,1,1
211,0,3,22.0,0,0,7.25,0,0,1,0
212,0,2,30.0,0,0,13.0,0,0,1,0
213,0,3,29.69911764705882,1,0,7.75,0,1,0,0
214,1,1,31.0,1,0,113.275,1,0,0,1
215,1,3,27.0,0,0,7.925,0,0,1,1
216,0,2,42.0,1,0,27.0,0,0,1,0
217,1,1,32.0,0,0,76.2917,1,0,0,1
218,0,2,30.0,0,0,10.5,0,0,1,0
219,1,3,16.0,0,0,8.05,0,0,1,0
220,0,2,27.0,0,0,13.0,0,0,1,0
221,0,3,51.0,0,0,8.05,0,0,1,0
222,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
223,1,1,38.0,1,0,90.0,0,0,1,0
224,0,3,22.0,0,0,9.35,0,0,1,0
225,1,2,19.0,0,0,10.5,0,0,1,0
226,0,3,20.5,0,0,7.25,0,0,1,0
227,0,2,18.0,0,0,13.0,0,0,1,0
228,0,3,29.69911764705882,3,1,25.4667,0,0,1,1
229,1,1,35.0,1,0,83.475,0,0,1,1
230,0,3,29.0,0,0,7.775,0,0,1,0
231,0,2,59.0,0,0,13.5,0,0,1,0
232,1,3,5.0,4,2,31.3875,0,0,1,1
233,0,2,24.0,0,0,10.5,0,0,1,0
234,0,3,29.69911764705882,0,0,7.55,0,0,1,1
235,0,2,44.0,1,0,26.0,0,0,1,0
236,1,2,8.0,0,2,26.25,0,0,1,1
237,0,2,19.0,0,0,10.5,0,0,1,0
238,0,2,33.0,0,0,12.275,0,0,1,0
239,0,3,29.69911764705882,1,0,14.4542,1,0,0,1
240,1,3,29.69911764705882,1,0,15.5,0,1,0,1
241,0,2,29.0,0,0,10.5,0,0,1,0
242,0,3,22.0,0,0,7.125,0,0,1,0
243,0,3,30.0,0,0,7.225,1,0,0,0
244,0,1,44.0,2,0,90.0,0,1,0,0
245,0,3,25.0,0,0,7.775,0,0,1,1
246,1,2,24.0,0,2,14.5,0,0,1,1
247,1,1,37.0,1,1,52.5542,0,0,1,0
248,0,2,54.0,1,0,26.0,0,0,1,0
249,0,3,29.69911764705882,0,0,7.25,0,0,1,0
250,0,3,29.0,1,1,10.4625,0,0,1,1
251,0,1,62.0,0,0,26.55,0,0,1,0
252,0,3,30.0,1,0,16.1,0,0,1,0
253,0,3,41.0,0,2,20.2125,0,0,1,1
254,1,3,29.0,0,2,15.2458,1,0,0,1
255,1,1,29.69911764705882,0,0,79.2,1,0,0,1
256,1,1,30.0,0,0,86.5,0,0,1,1
257,1,1,35.0,0,0,512.3292,1,0,0,1
258,1,2,50.0,0,1,26.0,0,0,1,1
259,0,3,29.69911764705882,0,0,7.75,0,1,0,0
260,1,3,3.0,4,2,31.3875,0,0,1,0
261,0,1,52.0,1,1,79.65,0,0,1,0
262,0,1,40.0,0,0,0.0,0,0,1,0
263,0,3,29.69911764705882,0,0,7.75,0,1,0,1
264,0,2,36.0,0,0,10.5,0,0,1,0
265,0,3,16.0,4,1,39.6875,0,0,1,0
266,1,3,25.0,1,0,7.775,0,0,1,0
267,1,1,58.0,0,1,153.4625,0,0,1,1
268,1,1,35.0,0,0,135.6333,0,0,1,1
269,0,1,29.69911764705882,0,0,31.0,0,0,1,0
270,1,3,25.0,0,0,0.0,0,0,1,0
271,1,2,41.0,0,1,19.5,0,0,1,1
272,0,1,37.0,0,1,29.7,1,0,0,0
273,1,3,29.69911764705882,0,0,7.75,0,1,0,1
274,1,1,63.0,1,0,77.9583,0,0,1,1
275,0,3,45.0,0,0,7.75,0,0,1,1
276,0,2,29.69911764705882,0,0,0.0,0,0,1,0
277,0,3,7.0,4,1,29.125,0,1,0,0
278,1,3,35.0,1,1,20.25,0,0,1,1
279,0,3,65.0,0,0,7.75,0,1,0,0
280,0,3,28.0,0,0,7.8542,0,0,1,0
281,0,3,16.0,0,0,9.5,0,0,1,0
282,1,3,19.0,0,0,8.05,0,0,1,0
283,0,1,29.69911764705882,0,0,26.0,0,0,1,0
284,0,3,33.0,0,0,8.6625,1,0,0,0
285,1,3,30.0,0,0,9.5,0,0,1,0
286,0,3,22.0,0,0,7.8958,0,0,1,0
287,1,2,42.0,0,0,13.0,0,0,1,0
288,1,3,22.0,0,0,7.75,0,1,0,1
289,1,1,26.0,0,0,78.85,0,0,1,1
290,1,1,19.0,1,0,91.0792,1,0,0,1
291,0,2,36.0,0,0,12.875,1,0,0,0
292,0,3,24.0,0,0,8.85,0,0,1,1
293,0,3,24.0,0,0,7.8958,0,0,1,0
294,0,1,29.69911764705882,0,0,27.7208,1,0,0,0
295,0,3,23.5,0,0,7.2292,1,0,0,0
296,0,1,2.0,1,2,151.55,0,0,1,1
297,1,1,29.69911764705882,0,0,30.5,0,0,1,0
298,1,1,50.0,0,1,247.5208,1,0,0,1
299,1,3,29.69911764705882,0,0,7.75,0,1,0,1
300,1,3,29.69911764705882,2,0,23.25,0,1,0,0
301,0,3,19.0,0,0,0.0,0,0,1,0
302,1,2,29.69911764705882,0,0,12.35,0,1,0,1
303,0,3,29.69911764705882,0,0,8.05,0,0,1,0
304,1,1,0.92,1,2,151.55,0,0,1,0
305,1,1,29.69911764705882,0,0,110.8833,1,0,0,1
306,1,1,17.0,1,0,108.9,1,0,0,1
307,0,2,30.0,1,0,24.0,1,0,0,0
308,1,1,30.0,0,0,56.9292,1,0,0,1
309,1,1,24.0,0,0,83.1583,1,0,0,1
310,1,1,18.0,2,2,262.375,1,0,0,1
311,0,2,26.0,1,1,26.0,0,0,1,1
312,0,3,28.0,0,0,7.8958,0,0,1,0
313,0,2,43.0,1,1,26.25,0,0,1,0
314,1,3,26.0,0,0,7.8542,0,0,1,1
315,1,2,24.0,1,0,26.0,0,0,1,1
316,0,2,54.0,0,0,14.0,0,0,1,0
317,1,1,31.0,0,2,164.8667,0,0,1,1
318,1,1,40.0,1,1,134.5,1,0,0,1
319,0,3,22.0,0,0,7.25,0,0,1,0
320,0,3,27.0,0,0,7.8958,0,0,1,0
321,1,2,30.0,0,0,12.35,0,1,0,1
322,1,2,22.0,1,1,29.0,0,0,1,1
323,0,3,29.69911764705882,8,2,69.55,0,0,1,0
324,1,1,36.0,0,0,135.6333,1,0,0,1
325,0,3,61.0,0,0,6.2375,0,0,1,0
326,1,2,36.0,0,0,13.0,0,0,1,1
327,1,3,31.0,1,1,20.525,0,0,1,1
328,1,1,16.0,0,1,57.9792,1,0,0,1
329,1,3,29.69911764705882,2,0,23.25,0,1,0,1
330,0,1,45.5,0,0,28.5,0,0,1,0
331,0,1,38.0,0,1,153.4625,0,0,1,0
332,0,3,16.0,2,0,18.0,0,0,1,0
333,1,1,29.69911764705882,1,0,133.65,0,0,1,1
334,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
335,0,1,29.0,1,0,66.6,0,0,1,0
336,1,1,41.0,0,0,134.5,1,0,0,1
337,1,3,45.0,0,0,8.05,0,0,1,0
338,0,1,45.0,0,0,35.5,0,0,1,0
339,1,2,2.0,1,1,26.0,0,0,1,0
340,1,1,24.0,3,2,263.0,0,0,1,1
341,0,2,28.0,0,0,13.0,0,0,1,0
342,0,2,25.0,0,0,13.0,0,0,1,0
343,0,2,36.0,0,0,13.0,0,0,1,0
344,1,2,24.0,0,0,13.0,0,0,1,1
345,1,2,40.0,0,0,13.0,0,0,1,1
346,1,3,29.69911764705882,1,0,16.1,0,0,1,1
347,1,3,3.0,1,1,15.9,0,0,1,0
348,0,3,42.0,0,0,8.6625,0,0,1,0
349,0,3,23.0,0,0,9.225,0,0,1,0
350,0,1,29.69911764705882,0,0,35.0,0,0,1,0
351,0,3,15.0,1,1,7.2292,1,0,0,0
352,0,3,25.0,1,0,17.8,0,0,1,0
353,0,3,29.69911764705882,0,0,7.225,1,0,0,0
354,0,3,28.0,0,0,9.5,0,0,1,0
355,1,1,22.0,0,1,55.0,0,0,1,1
356,0,2,38.0,0,0,13.0,0,0,1,1
357,1,3,29.69911764705882,0,0,7.8792,0,1,0,1
358,1,3,29.69911764705882,0,0,7.8792,0,1,0,1
359,0,3,40.0,1,4,27.9,0,0,1,0
360,0,2,29.0,1,0,27.7208,1,0,0,0
361,0,3,45.0,0,1,14.4542,1,0,0,1
362,0,3,35.0,0,0,7.05,0,0,1,0
363,0,3,29.69911764705882,1,0,15.5,0,1,0,0
364,0,3,30.0,0,0,7.25,0,0,1,0
365,1,1,60.0,1,0,75.25,1,0,0,1
366,1,3,29.69911764705882,0,0,7.2292,1,0,0,1
367,1,3,29.69911764705882,0,0,7.75,0,1,0,1
368,1,1,24.0,0,0,69.3,1,0,0,1
369,1,1,25.0,1,0,55.4417,1,0,0,0
370,0,3,18.0,1,0,6.4958,0,0,1,0
371,0,3,19.0,0,0,8.05,0,0,1,0
372,0,1,22.0,0,0,135.6333,1,0,0,0
373,0,3,3.0,3,1,21.075,0,0,1,1
374,1,1,29.69911764705882,1,0,82.1708,1,0,0,1
375,1,3,22.0,0,0,7.25,0,0,1,1
376,0,1,27.0,0,2,211.5,1,0,0,0
377,0,3,20.0,0,0,4.0125,1,0,0,0
378,0,3,19.0,0,0,7.775,0,0,1,0
379,1,1,42.0,0,0,227.525,1,0,0,1
380,1,3,1.0,0,2,15.7417,1,0,0,1
381,0,3,32.0,0,0,7.925,0,0,1,0
382,1,1,35.0,1,0,52.0,0,0,1,1
383,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
384,0,2,18.0,0,0,73.5,0,0,1,0
385,0,3,1.0,5,2,46.9,0,0,1,0
386,1,2,36.0,0,0,13.0,0,0,1,1
387,0,3,29.69911764705882,0,0,7.7292,0,1,0,0
388,1,2,17.0,0,0,12.0,1,0,0,1
389,1,1,36.0,1,2,120.0,0,0,1,0
390,1,3,21.0,0,0,7.7958,0,0,1,0
391,0,3,28.0,2,0,7.925,0,0,1,0
392,1,1,23.0,1,0,113.275,1,0,0,1
393,1,3,24.0,0,2,16.7,0,0,1,1
394,0,3,22.0,0,0,7.7958,0,0,1,0
395,0,3,31.0,0,0,7.8542,0,0,1,1
396,0,2,46.0,0,0,26.0,0,0,1,0
397,0,2,23.0,0,0,10.5,0,0,1,0
398,1,2,28.0,0,0,12.65,0,0,1,1
399,1,3,39.0,0,0,7.925,0,0,1,0
400,0,3,26.0,0,0,8.05,0,0,1,0
401,0,3,21.0,1,0,9.825,0,0,1,1
402,0,3,28.0,1,0,15.85,0,0,1,0
403,0,3,20.0,0,0,8.6625,0,0,1,1
404,0,2,34.0,1,0,21.0,0,0,1,0
405,0,3,51.0,0,0,7.75,0,0,1,0
406,1,2,3.0,1,1,18.75,0,0,1,0
407,0,3,21.0,0,0,7.775,0,0,1,0
408,0,3,29.69911764705882,3,1,25.4667,0,0,1,1
409,0,3,29.69911764705882,0,0,7.8958,0,0,1,0
410,0,3,29.69911764705882,0,0,6.8583,0,1,0,0
411,1,1,33.0,1,0,90.0,0,1,0,1
412,0,2,29.69911764705882,0,0,0.0,0,0,1,0
413,1,3,44.0,0,0,7.925,0,0,1,0
414,0,3,29.69911764705882,0,0,8.05,0,0,1,1
415,1,2,34.0,1,1,32.5,0,0,1,1
416,1,2,18.0,0,2,13.0,0,0,1,1
417,0,2,30.0,0,0,13.0,0,0,1,0
418,0,3,10.0,0,2,24.15,0,0,1,1
419,0,3,29.69911764705882,0,0,7.8958,1,0,0,0
420,0,3,21.0,0,0,7.7333,0,1,0,0
421,0,3,29.0,0,0,7.875,0,0,1,0
422,0,3,28.0,1,1,14.4,0,0,1,1
423,0,3,18.0,1,1,20.2125,0,0,1,0
424,0,3,29.69911764705882,0,0,7.25,0,0,1,0
425,1,2,28.0,1,0,26.0,0,0,1,1
426,1,2,19.0,0,0,26.0,0,0,1,1
427,0,3,29.69911764705882,0,0,7.75,0,1,0,0
428,1,3,32.0,0,0,8.05,0,0,1,0
429,1,1,28.0,0,0,26.55,0,0,1,0
430,1,3,29.69911764705882,1,0,16.1,0,0,1,1
431,1,2,42.0,1,0,26.0,0,0,1,1
432,0,3,17.0,0,0,7.125,0,0,1,0
433,0,1,50.0,1,0,55.9,0,0,1,0
434,1,1,14.0,1,2,120.0,0,0,1,1
435,0,3,21.0,2,2,34.375,0,0,1,1
436,1,2,24.0,2,3,18.75,0,0,1,1
437,0,1,64.0,1,4,263.0,0,0,1,0
438,0,2,31.0,0,0,10.5,0,0,1,0
439,1,2,45.0,1,1,26.25,0,0,1,1
440,0,3,20.0,0,0,9.5,0,0,1,0
441,0,3,25.0,1,0,7.775,0,0,1,0
442,1,2,28.0,0,0,13.0,0,0,1,1
443,1,3,29.69911764705882,0,0,8.1125,0,0,1,0
444,1,1,4.0,0,2,81.8583,0,0,1,0
445,1,2,13.0,0,1,19.5,0,0,1,1
446,1,1,34.0,0,0,26.55,0,0,1,0
447,1,3,5.0,2,1,19.2583,1,0,0,1
448,1,1,52.0,0,0,30.5,0,0,1,0
449,0,2,36.0,1,2,27.75,0,0,1,0
450,0,3,29.69911764705882,1,0,19.9667,0,0,1,0
451,0,1,30.0,0,0,27.75,1,0,0,0
452,1,1,49.0,1,0,89.1042,1,0,0,0
453,0,3,29.69911764705882,0,0,8.05,0,0,1,0
454,1,3,29.0,0,0,7.8958,1,0,0,0
455,0,1,65.0,0,0,26.55,0,0,1,0
456,1,1,29.69911764705882,1,0,51.8625,0,0,1,1
457,1,2,50.0,0,0,10.5,0,0,1,1
458,0,3,29.69911764705882,0,0,7.75,0,1,0,0
459,1,1,48.0,0,0,26.55,0,0,1,0
460,0,3,34.0,0,0,8.05,0,0,1,0
461,0,1,47.0,0,0,38.5,0,0,1,0
462,0,2,48.0,0,0,13.0,0,0,1,0
463,0,3,29.69911764705882,0,0,8.05,0,0,1,0
464,0,3,38.0,0,0,7.05,0,0,1,0
465,0,2,29.69911764705882,0,0,0.0,0,0,1,0
466,0,1,56.0,0,0,26.55,0,0,1,0
467,0,3,29.69911764705882,0,0,7.725,0,1,0,0
468,1,3,0.75,2,1,19.2583,1,0,0,1
469,0,3,29.69911764705882,0,0,7.25,0,0,1,0
470,0,3,38.0,0,0,8.6625,0,0,1,0
471,1,2,33.0,1,2,27.75,0,0,1,1
472,1,2,23.0,0,0,13.7917,1,0,0,1
473,0,3,22.0,0,0,9.8375,0,0,1,1
474,0,1,29.69911764705882,0,0,52.0,0,0,1,0
475,0,2,34.0,1,0,21.0,0,0,1,0
476,0,3,29.0,1,0,7.0458,0,0,1,0
477,0,3,22.0,0,0,7.5208,0,0,1,0
478,1,3,2.0,0,1,12.2875,0,0,1,1
479,0,3,9.0,5,2,46.9,0,0,1,0
480,0,2,29.69911764705882,0,0,0.0,0,0,1,0
481,0,3,50.0,0,0,8.05,0,0,1,0
482,1,3,63.0,0,0,9.5875,0,0,1,1
483,1,1,25.0,1,0,91.0792,1,0,0,0
484,0,3,29.69911764705882,3,1,25.4667,0,0,1,1
485,1,1,35.0,1,0,90.0,0,0,1,1
486,0,1,58.0,0,0,29.7,1,0,0,0
487,0,3,30.0,0,0,8.05,0,0,1,0
488,1,3,9.0,1,1,15.9,0,0,1,0
489,0,3,29.69911764705882,1,0,19.9667,0,0,1,0
490,0,3,21.0,0,0,7.25,0,0,1,0
491,0,1,55.0,0,0,30.5,0,0,1,0
492,0,1,71.0,0,0,49.5042,1,0,0,0
493,0,3,21.0,0,0,8.05,0,0,1,0
494,0,3,29.69911764705882,0,0,14.4583,1,0,0,0
495,1,1,54.0,1,0,78.2667,1,0,0,1
496,0,3,29.69911764705882,0,0,15.1,0,0,1,0
497,0,1,25.0,1,2,151.55,0,0,1,1
498,0,3,24.0,0,0,7.7958,0,0,1,0
499,0,3,17.0,0,0,8.6625,0,0,1,0
500,0,3,21.0,0,0,7.75,0,1,0,1
501,0,3,29.69911764705882,0,0,7.6292,0,1,0,1
502,0,3,37.0,0,0,9.5875,0,0,1,1
503,1,1,16.0,0,0,86.5,0,0,1,1
504,0,1,18.0,1,0,108.9,1,0,0,0
505,1,2,33.0,0,2,26.0,0,0,1,1
506,1,1,29.69911764705882,0,0,26.55,0,0,1,0
507,0,3,28.0,0,0,22.525,0,0,1,0
508,1,3,26.0,0,0,56.4958,0,0,1,0
509,1,3,29.0,0,0,7.75,0,1,0,0
510,0,3,29.69911764705882,0,0,8.05,0,0,1,0
511,1,1,36.0,0,0,26.2875,0,0,1,0
512,1,1,54.0,1,0,59.4,1,0,0,1
